"filename", "language", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "comment", "blank", "total"
"d:\stuffs\react-social-network\server\.eslintrc.json", "JSON", 33, 0, 0, 0, 0, 0, 33
"d:\stuffs\react-social-network\server\@types\express\index.d.ts", "TypeScript", 0, 9, 0, 0, 0, 2, 11
"d:\stuffs\react-social-network\server\nodemon.json", "JSON", 6, 0, 0, 0, 0, 0, 6
"d:\stuffs\react-social-network\server\package-lock.json", "JSON", 5934, 0, 0, 0, 0, 1, 5935
"d:\stuffs\react-social-network\server\package.json", "JSON", 61, 0, 0, 0, 0, 0, 61
"d:\stuffs\react-social-network\server\src\config\db.js", "JavaScript", 0, 0, 0, 65, 1, 1, 67
"d:\stuffs\react-social-network\server\src\config\db.ts", "TypeScript", 0, 15, 0, 0, 2, 5, 22
"d:\stuffs\react-social-network\server\src\controllers\commentController.js", "JavaScript", 0, 0, 0, 149, 4, 1, 154
"d:\stuffs\react-social-network\server\src\controllers\commentController.ts", "TypeScript", 0, 58, 0, 0, 4, 10, 72
"d:\stuffs\react-social-network\server\src\controllers\postController.js", "JavaScript", 0, 0, 0, 239, 7, 1, 247
"d:\stuffs\react-social-network\server\src\controllers\postController.ts", "TypeScript", 0, 116, 0, 0, 7, 11, 134
"d:\stuffs\react-social-network\server\src\controllers\userController.js", "JavaScript", 0, 0, 0, 377, 2, 1, 380
"d:\stuffs\react-social-network\server\src\controllers\userController.ts", "TypeScript", 0, 214, 0, 0, 6, 48, 268
"d:\stuffs\react-social-network\server\src\index.js", "JavaScript", 0, 0, 0, 55, 9, 1, 65
"d:\stuffs\react-social-network\server\src\index.ts", "TypeScript", 0, 44, 0, 0, 8, 14, 66
"d:\stuffs\react-social-network\server\src\middlewares\authenticate.js", "JavaScript", 0, 0, 0, 77, 0, 1, 78
"d:\stuffs\react-social-network\server\src\middlewares\authenticate.ts", "TypeScript", 0, 30, 0, 0, 0, 13, 43
"d:\stuffs\react-social-network\server\src\middlewares\cloudinaryConfig.js", "JavaScript", 0, 0, 0, 12, 0, 1, 13
"d:\stuffs\react-social-network\server\src\middlewares\cloudinaryConfig.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"d:\stuffs\react-social-network\server\src\middlewares\upload.js", "JavaScript", 0, 0, 0, 19, 0, 1, 20
"d:\stuffs\react-social-network\server\src\middlewares\upload.ts", "TypeScript", 0, 15, 0, 0, 0, 4, 19
"d:\stuffs\react-social-network\server\src\models\Comment.js", "JavaScript", 0, 0, 0, 16, 2, 1, 19
"d:\stuffs\react-social-network\server\src\models\Comment.ts", "TypeScript", 0, 22, 0, 0, 3, 5, 30
"d:\stuffs\react-social-network\server\src\models\Post.js", "JavaScript", 0, 0, 0, 36, 0, 1, 37
"d:\stuffs\react-social-network\server\src\models\Post.ts", "TypeScript", 0, 51, 0, 0, 0, 5, 56
"d:\stuffs\react-social-network\server\src\models\User.js", "JavaScript", 0, 0, 0, 105, 0, 1, 106
"d:\stuffs\react-social-network\server\src\models\User.ts", "TypeScript", 0, 59, 0, 0, 0, 7, 66
"d:\stuffs\react-social-network\server\src\routes\commentRoutes.js", "JavaScript", 0, 0, 0, 11, 1, 1, 13
"d:\stuffs\react-social-network\server\src\routes\commentRoutes.ts", "TypeScript", 0, 9, 0, 0, 1, 3, 13
"d:\stuffs\react-social-network\server\src\routes\postRoutes.js", "JavaScript", 0, 0, 0, 16, 1, 1, 18
"d:\stuffs\react-social-network\server\src\routes\postRoutes.ts", "TypeScript", 0, 11, 0, 0, 1, 3, 15
"d:\stuffs\react-social-network\server\src\routes\userRoutes.js", "JavaScript", 0, 0, 0, 19, 2, 1, 22
"d:\stuffs\react-social-network\server\src\routes\userRoutes.ts", "TypeScript", 0, 17, 0, 0, 2, 3, 22
"d:\stuffs\react-social-network\server\src\utils\generateToken.js", "JavaScript", 0, 0, 0, 19, 0, 1, 20
"d:\stuffs\react-social-network\server\src\utils\generateToken.ts", "TypeScript", 0, 11, 0, 0, 0, 3, 14
"d:\stuffs\react-social-network\server\tsconfig.json", "JSON with Comments", 0, 0, 14, 0, 82, 10, 106
"Total", "-", 6034, 688, 14, 1215, 145, 164, 8260